Date,Predicted_Revenue,Revenue_Lower_Bound,Revenue_Upper_Bound
2022-01-31,30504559.717840783,27496995.704870265,33543045.134311866
2022-02-28,23355353.536612753,20400878.493076906,26299815.619927097
2022-03-31,26727185.86104178,23726492.69004156,29521971.299023908
2022-04-30,26340400.646404985,23125612.763429645,29147921.61696766
2022-05-31,28191189.84143231,25185899.81091288,31067439.169648316
2022-06-30,27569441.82609801,24508126.071737092,30713542.509519227
2022-07-31,28495180.97461158,25622592.02915526,31491371.886597387
2022-08-31,27911689.078306198,24962747.223081138,30832468.62925699
2022-09-30,27323042.799552493,24460530.947729997,30181278.83817936
2022-10-31,27326748.825220596,24255846.225731816,30204245.616621777
2022-11-30,25890983.02682594,22863534.05287581,28937401.323696006
2022-12-31,26224331.19563455,23497133.17849563,29152757.94278026
2023-01-31,18277317.55418296,15258004.095378987,21289627.977309864
2023-02-28,25859132.650615446,22738542.597431965,28880486.555586312
2023-03-31,27779394.216969043,24825781.523292042,30703625.128858723
2023-04-30,26209358.72945121,23129604.891498044,29230814.022366613
2023-05-31,26252888.7651976,23288091.233017705,29204178.477802873
2023-06-30,25134532.70731453,22192201.03099802,28079835.267705277
2023-07-31,25563269.320660274,22515179.20967643,28750117.38807806
2023-08-31,26067652.354934193,23271722.05506988,29071842.00704385
2023-09-30,25700927.576743245,22902371.839358028,28731752.540199727
2023-10-31,26997924.095296152,24064805.330802646,30076843.171120197
2023-11-30,27244073.54967037,24382287.24606061,30319359.879486706
2023-12-31,28267540.090714484,25432806.06243151,31100443.171973646
2024-01-31,6018062.071418172,3058077.787311007,8831066.275323402
2024-02-29,13105151.020891618,10146569.293312157,15932954.756986715
2024-03-31,18901883.408069324,15874325.79678831,21744501.45753618
2024-04-30,20677032.937168285,17709876.20281701,23622074.16616495
2024-05-31,26125150.667392407,23311271.493245173,28955382.266190697
2024-06-30,26590266.134436123,23518996.457873438,29385845.77326991
2024-07-31,28624515.2359578,25834727.58410274,31555141.93644032
2024-08-31,25947183.96169682,22879777.228391342,28795125.27209995
2024-09-30,24954831.30340223,22026710.51009518,27938172.521834515
2024-10-31,22375180.58525082,19276381.371027913,25193795.53418191
2024-11-30,17366188.282782357,14408741.857394725,20301610.284052644
2024-12-31,15791807.158490032,12921418.526304193,18603745.057730187
2025-01-31,36929673.683991335,34044221.86101615,39831411.48318254
